rust-stdlib-v1.80.mv.db,/Users/landen/Research/bsim/bins/bat-O3,0.0,0.0
std::sys_common::backtrace::__rust_end_short_backtrace,core::fmt::fmt<std::io::error::Error>,1.000,9.181
std::sys_common::backtrace::__rust_end_short_backtrace,core::fmt::fmt,1.000,9.181
std::sys_common::backtrace::__rust_end_short_backtrace,core::fmt::fmt,1.000,9.181
std::sys_common::backtrace::__rust_end_short_backtrace,core::fmt::fmt<std::backtrace::BacktraceSymbol>,1.000,9.181
std::sys_common::backtrace::__rust_end_short_backtrace,core::fmt::fmt<std::io::error::Error>,1.000,9.181
std::sys_common::backtrace::__rust_begin_short_backtrace,gimli::read::unit::clone<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>_usize>,0.605,9.322
std::sys_common::backtrace::__rust_begin_short_backtrace,std::sync::reentrant_lock::current_thread_unique_ptr,0.209,5.780
std::sys_common::backtrace::__rust_begin_short_backtrace,core::ptr::drop_in_place<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>,0.137,3.786
std::sys_common::backtrace::__rust_begin_short_backtrace,std::time::fmt,0.226,5.552
std::sys_common::backtrace::__rust_begin_short_backtrace,std::env::next,0.144,3.187
std::sys_common::backtrace::__rust_begin_short_backtrace,std::thread::set_current,0.128,2.533
std::sys_common::backtrace::__rust_begin_short_backtrace,core::fmt::fmt<alloc::boxed::Box<(dyn_core::error::Error_+_core::marker::Send_+_core::marker::Sync)_alloc::alloc::Global>>,0.207,5.552
std::sys_common::backtrace::__rust_begin_short_backtrace,std::sys::pal::unix::os::next,0.144,3.187
std::sys_common::backtrace::__rust_begin_short_backtrace,std::io::stdio::set_output_capture,0.129,2.432
std::sys_common::backtrace::__rust_begin_short_backtrace,std::panicking::panic_count::finished_panic_hook,0.196,5.662
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,core::ptr::drop_in_place<std::panicking::Hook>,0.258,8.509
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,core::ptr::drop_in_place<std::panicking::Hook>,0.334,13.762
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,std::sys::os_str::bytes::Buf::into_string,0.223,8.237
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,std::panicking::begin_panic_handler::take_box,0.244,8.436
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,std::panicking::begin_panic_handler::take_box,0.244,8.436
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,core::ptr::drop_in_place<std::backtrace::{impl#6}::fmt::{closure_env#0}>,0.238,7.815
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,core::ptr::drop_in_place<core::result::Result<std::path::PathBuf_std::io::error::Error>>,0.238,7.815
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,core::ptr::drop_in_place<core::result::Result<std::path::PathBuf_std::io::error::Error>>,0.238,7.815
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,core::ptr::drop_in_place<core::result::Result<addr2line::function::Functions<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>_gimli::read::Error>>,0.210,7.035
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,core::ptr::drop_in_place<std::panicking::Hook>,0.258,8.509
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,core::ptr::drop_in_place<(gimli::read::UnitOffset<usize>_addr2line::lazy::LazyCell<core::result::Result<addr2line::function::Function<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>_gimli::read::Error>>)>,0.217,6.948
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,std::panicking::begin_panic_handler::take_box,0.239,7.731
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,std::sys_common::process::next,0.221,7.444
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,std::panicking::begin_panic_handler::take_box,0.239,7.731
std::sys::thread_local::fast_local::lazy::Storage<TD>::initialize,core::ptr::drop_in_place<std::backtrace::{impl#6}::fmt::{closure_env#0}>,0.238,7.815
std::sys::thread_local::fast_local::lazy::Storage::initialize<core::cell::Cell<core::option::Option<alloc::sync::Arc<std::sync::mutex::Mutex<alloc::vec::Vec<u8_alloc::alloc::Global>>_alloc::alloc::Global>>>_()_fn()_->_core::cell::Cell<core::option::Option<alloc::sync::Arc<std::sync::mutex::Mutex<alloc::vec::Vec<u8_alloc::alloc::Global>>_alloc::alloc::Global>>>>,std::sys::thread_local::fast_local::lazy::Storage::initialize<core::cell::Cell<core::option::Option<alloc::sync::Arc<std::sync::mutex::Mutex<alloc::vec::Vec<u8_alloc::alloc::Global>>_alloc::alloc::Global>>>_()_fn()_->_core::cell::Cell<core::option::Option<alloc::sync::Arc<std::sync::mutex::Mutex<alloc::vec::Vec<u8_alloc::alloc::Global>>_alloc::alloc::Global>>>>,0.390,19.731
std::sys::thread_local::fast_local::lazy::Storage::initialize<core::cell::Cell<core::option::Option<alloc::sync::Arc<std::sync::mutex::Mutex<alloc::vec::Vec<u8_alloc::alloc::Global>>_alloc::alloc::Global>>>_()_fn()_->_core::cell::Cell<core::option::Option<alloc::sync::Arc<std::sync::mutex::Mutex<alloc::vec::Vec<u8_alloc::alloc::Global>>_alloc::alloc::Global>>>>,core::ptr::drop_in_place<alloc::sync::ArcInner<gimli::read::dwarf::Dwarf<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>>>,0.269,9.370
std::sys::thread_local::fast_local::lazy::Storage::initialize<core::cell::Cell<core::option::Option<alloc::sync::Arc<std::sync::mutex::Mutex<alloc::vec::Vec<u8_alloc::alloc::Global>>_alloc::alloc::Global>>>_()_fn()_->_core::cell::Cell<core::option::Option<alloc::sync::Arc<std::sync::mutex::Mutex<alloc::vec::Vec<u8_alloc::alloc::Global>>_alloc::alloc::Global>>>>,std::sys::thread_local::fast_local::eager::destroy<core::cell::once::OnceCell<std::thread::Thread>>,0.370,14.182
std::sys::thread_local::fast_local::lazy::Storage::initialize<core::cell::Cell<core::option::Option<alloc::sync::Arc<std::sync::mutex::Mutex<alloc::vec::Vec<u8_alloc::alloc::Global>>_alloc::alloc::Global>>>_()_fn()_->_core::cell::Cell<core::option::Option<alloc::sync::Arc<std::sync::mutex::Mutex<alloc::vec::Vec<u8_alloc::alloc::Global>>_alloc::alloc::Global>>>>,std::sys::thread_local::fast_local::lazy::destroy<core::cell::Cell<core::option::Option<alloc::sync::Arc<std::sync::mutex::Mutex<alloc::vec::Vec<u8_alloc::alloc::Global>>_alloc::alloc::Global>>>>,0.383,15.089
